question|ref_ans|student_ans|accuracy|explainationWhat role does the path play in determining whether or not a switch affects a bulb?|If a bulb and a switch are in the same path the switch affects the bulb|if the switch is contained in the path with the bulb, the switch affects the bulb.|correct|: Path continues from the source to a point P. There is also a path which goes through target and at some stage in its pathway it encounters an obstacle S (either switch depicted in figure). As long as no obstacles are inside any segment of this last contiguous free-space conduit whose beginning or end is outside containment sphere
What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?|the terminals are connected|there is no difference in electrical states|incorrect|: the two wires connect to each other; even if we do not read a voltage, there is always some electrically connected between leads. This can be verified by touching metal connectors together and one senses an electrical sensation upon completion of connection. Furthermore, using jumper cables from 'connector P3' on board 5 would
Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.|Terminal 6 and the positive terminal are connected|there is no gap between the positive battery terminal and terminal 6|correct|: Terminal 6 is ground (-)
Why do you think those terminals and the negative battery terminal are in the same state?|Terminals 1, 2 and 3 are connected to the negative battery terminal|because neither of them are recieving current|correct|: Pairs 1 and 2 are connected to each other through Terminals 4 & 5. Therefor there is no gap between them, therefore they share the same polarity. Only Terminal 3 has an electrical gap from any of these terminals because it always recieves current directly form one terminal at a time rather then sharing that
Explain why you got a voltage reading of 0 for terminal 1 and terminal 4.|Terminals 1 and 4 are connected|terminal 1 is connected to terminal 4|correct|: The terminals are connected.
Why was bulb C off when switch Z was open?|Bulb C was no longer in a closed path with the battery|bulb c was contained in an open path with the battery|correct|: students must realize that since the light bulb was contained in an open circuit, with no complete or closed paths containing it, then its filament cannot emit any electrons. This is why the light was out when switch Z is opened
Explain why you got a voltage reading of 1.5 for terminal 1 and terminal 6.|Terminals 1 and 6 are separated by the gap|there is a gap between terminal 1 and terminal 6|correct|: the low voltage helps prove that
Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.|Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.|because if there is a difference in electrial states then there is a gap. That will located the burned out bulb|correct|: Power is measured in volts.If the power supply is connected to an electrical state that does not change voltage then something has caused a break or gap somewhere between where it connects and leads into the bulb.The exact location of this junction can be determined by measuring different voltages on either side,when you locate one with
Why was bulb A on when switch Y was open and switch Z was closed?|Bulb A is still contained in a closed path with the battery.|there was a closed path not effected by the switch|incorrect|: Z closes the path from P through A, so what's controlled are all lights between B & C.
When switch X was closed and switch Y was open, why was bulb A on?|Bulb A was still contained in the same closed path with the battery.|because bulb a was still in a closed path with the battery|correct|: By asking this question, we can assess whether the student knows what a closed path is. A quick look at figure 1 suggests that an acceptable answer could be "bulb X," because switches B and C are both open, so bulb Y must have been on before switch D was opened! The use of a check
Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.|Terminal 1 and the positive terminal are separated by the gap|positive battery terminal is separated by a gap from terminal 1|correct|: The terminals are indicated correctly, however if you just looked only at the drawing of terminal 1 would not be able to see that there is a positive battery terminal because it appears that they both have negative markings. 5.) Students took apart hard drive
Explain why you got a voltage reading of 0 for terminal 1 and terminal 2.|Terminals 1 and 2 are connected|terminal 1 is connected to terminal 2|correct|:Under what circumstances will a switch affect a bulb?|When the switch and the bulb are contained in the same path|if the switch and bulb are contained in the same path, the switch will affect the bulb.|correct|: For whatever reason you apparently added a lamp to this question and we need not be concerned about that (at least I am hopeful). What matters is which devices share the same path. When they do, only one of those will respond when enabled or disabled with regard to its neighbor sharing another direct exit from within but no
Why does an open switch impact a circuit?|the open switch creates a gap|it causes an open circuit|incorrect|: as stated in the image above, if a switch is open it will create an OPEN CIRCUIT. As Ohm's Law states resistance equals constant times Voltage over Current this means that for all things equal which should be true other than no flow of current through and out around (open circuit) there would cause
When switch X was open and switch Y was closed, why were bulbs B and C on?|Bulb B and Bulb C were still contained in the same closed path with the battery.|because bulb b and c were still in a closed path with the battery|correct|: Here we could ask about multiple switches and how they interconnect to form a closed path for electrical flow, but let's instead lead the question back toward circuits with one switch. The image below might help (source Wikipedia)
What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?|the terminals are not connected|the termials are the oppsite|incorrect|: Sorry, that's just not possible . If the terminals are unconnected then you will get no if any voltage into the resistance to check it. There should be some very small reading of something like 0 volts due to internal battery potential difference between multiple cells caused by cell engineering process which is impossible for students or anyone but
Explain why circuit 5 is a short circuit.|the battery is contained in a path in which there is no bulb|the battery is contained in a closed path without any devices|correct|: see figure B. It's clearly a short circuit since the outer loop represents an equal path for both sides of battery b1 Reference: The MIT Licence terms * See answer explanation
Why does a damaged bulb impact a circuit?|a damaged bulb creates a gap|a damaged bulb causes a gap at the blub|correct|: Failure of a bulb or component interrupts the circuit. Without proper contact, current will not flow through the closed switch contacts and power to lights is cut off.
What are the conditions that are required to make a bulb light up?|there is a closed path containing both the bulb and a battery|a complete circuit of electricty|correct|: No conditions are needed for this; it is self-explanatory ( by the definition of a complete
Explain why circuit 4 is not a short circuit.|Circuit 4 has no closed paths|the battery is not contained in a closed path|correct|: A short circuit is a connection between two points in a conductive path. There is no closed
What do you think the red X means?|the battery is damaged|a short circuit|correct|: The Anode (positive terminal) is missing Under what circumstances will a damaged/ burned out bulb affect another bulb?|If they are in the same path the burned out bulb affects the other bulb.|if the damaged bulb and the other bulb are contained within the same path|correct|: The destroyed bulb is in the circuit and therefore one less element supplying positive current to its lightbulb. Since all of these elements are contained within different paths, if their bulbs burn out simultaneously they will not be affected by each other's "blown" or lit-up state for example: Path 1 with Bulbs
Why do both bulbs A and B stay on when bulb C is burned out?|If C burns out then A and B are still in a closed path with the battery|because bulb a and b are still contained within a closed path with the battery|correct|: Bulbs A and B are NOT in a closed path until you pull out the power source-the battery pack. C doesn't last forever but I think your question is implying that just because it goes first this means that without its light bulb life or not, Project will work with/without closing circuit between bulbs at
Explain why circuit 2 is not a short circuit.|The battery in 2 is not in a closed path|because the two ends of the battery do not connect to one another|incorrect|: This is why it doesn't matter what node we choose as a source because the two ends of the battery do not connect to each other. In this case there can be no current at all or infinite observed value depending on your sense connections, but interpretation which you need help with math insturctor
Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.|Terminal 1 and the positive terminal are separated by the gap|because they are connected to opposite terminals|correct|: Always test the terminal you expect to be positive with neg1 and if it reads differently than tell your teacher.
Explain why you got a voltage reading of 1.5 for terminal 3 and the positive terminal.|Terminal 3 and the positive terminal are separated by the gap|positive battery terminal is separated by a gap from terminal 3|correct|: Voltage between point A and arm has to be less than the value of voltage across this section. AB is a 'parallel' circuit so VAB3 = 1.5V hence VA must be <1 - possible only if terminal 3 gives 0 ohms resistance..thus requiring no current it touches battery positive directly
Explain why you got a voltage reading of 0 for terminal 6 and the positive terminal.|Terminal 6 and the positive terminal are connected|Terminal 6 is connected to the positive battery terminal|correct|: No, terminal 6 is not connected to the positive battery terminal. See below diagram:
What is voltage?|Voltage is the difference in electrical states between two terminals|is the difference between two terminals|incorrect|: Measure of the force per unit charged observed in an electrical agent Examples: Volts = 120V, 9.9 V, AA cells can supply __ volts
Explain why you got a voltage reading of 0 for terminal 5 and the positive terminal.|Terminal 5 and the positive terminal are connected|terminal 5 is connected ot the positive battery terminal|correct|: To measure the resistance of a device that uses no moving parts, such as a battery or resistor, you can place it in series with one side of an AA size dry cell and the other side to be measured. Connect terminals 1 (+) and 4 (-). Measure voltage across 2 (mm/ddV), noting
what does it mean when the voltage reading jumps from 0 to 1.5?|the bulb is damaged|that the bulb between those terminals is damaged|correct|: When the leads are moved closer to another bulb terminal, more current is drawn; this causes a drop in voltage across that damaged bulb. From our experience with these electronic circuits (get ready... undergraduates always discover something like electricity), it's safe to assume there won't be any reading at all if you move the
Describe the paths in this diagram and explain how those paths account for the results.|Bulb A is in a path which does not contain B and C, so bulbs B and C don't affect it. Bulbs B and C are in the same path. They affect each other, but Bulb A doesn't affect them.|there is one path though bulb a and a second path through bulb b and c. The two paths are independent from one another. If one bulb goes out in one of the path it only affect the bulbs within that same path|correct|: The probability of the bulb going out is independent from other bulbs. If one goes bad, and I replace it because it's dark in that part of my house: firstly, given two locations within a circuit which should be good to solder correctly but were installed wrongly only installing each location will not by itself solve anything
Why didn^t bulbs A and C go out after bulb B burned out?|Bulbs A and C are still contained in closed paths with the battery|because bulb a and c were still contained within a closed path with the battery|correct|: No longer contained within a closed path with the battery.
Elena has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?|Elena should include a separate shelter for each lizard.|Elena should add shelter.|correct|: The goal is to make the males as comfortable as possible and show her good husbandry. She also needs to take precautions because adding age-similar mates can result in fighting even among those lizards that would normally be okay with each other; for example, if they were not raised together. It sounds like she has
Janet found the solubility of silver chloride to be 86 grams in 50 milliliters of water. Mike found the solubility of silver nitrate to be 108 grams in 50 milliliters of water. Janet and Mike thought they must have made a mistake. They thought the solubilities of all materials in water should be the same. Is it possible that both solubilities are correct? Explain your answer.|Yes, they could both be correct. Solubility is not the same for all materials.|No because no solid that one has more than the other in the same amount of water.|incorrect|: It might be possible that Mike measured the temperature of his solution when it was not at full room temperature. We all know solubility is much lower when materials are in supercooled water or hot solutions.
Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Why did Diva need to test pure sugar?|Diva needs to know how much gas pure sugar produced in order to decide whether the cookies are pure sugar. Diva needs to make a controlled experiment.|Diva needed to test pure sugar so that she could make sure Fruity Cream cookies did not have as much carbon dioxide as pure sugar to see if her dad was wrong.|correct|: One test will show whether Fruity Cream has as much carbon dioxide (or doesn't) as pure sugar.
The drawing above shows a plaza in the afternoon. Label the west side of the drawing with a W. Label the north side of the drawing with an N. How did you know which direction was west?|In the afternoon, shadows point east because the Sun is in the west. So the west side is opposite of the shadows.|You would know by which way the shadow is pointing to.|incorrect|: East SaintLouis:)
Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Are Fruity Cream cookies pure sugar? What is your evidence?|No, Fruity cream cookies are not pure sugar. The cookies did not produce as much gas as was produced by the pure sugar.|No, because with pure sugar is higher than 200 milliliters and Fruity Cream cookies is 150 milliliters.|correct|: These are straightforward questions that require students to explain their reasoning. Their explanations can be embedded in any science curriculum across all content areas, enabling each classroom teacher access to the student dialogue through electronic dashboards representing class blogs or even individual discussions .
Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a reaction.|A reaction was indicated by the bubbles of gas (a new material) being produced.|Because after a while small bubbles appeared, but in the next day, bubbles, starting to be more eggshells were disappeared.|correct|: A reaction involves a chemical change that gives off heat, sound or light. 12 student answers 2. Answer Question: Choong studied some seaweeds in his study of marine biology on Australia's Great Barrier Reef This is one type maybe red algae it has the properties characteristic which are no vascular tissue xylem and ph
Julie and David each built a solar water heater. Both solar water heaters were 10 centimeters x 10 centimeters x 30 centimeters. Both water heaters were painted black on the inside bottom and filled to the top with 3 liters of room temperature water. Both water heaters were set in the sun. They checked the temperatures every 5 minutes and made the table below. Which box did Julie build, A or B? What evidence supports your answer?|A. The water in Julie's heater got hotter faster (or had a greater temperature change in 20 minutes). The collector in heater A has the greater surface area so the water in A would get hotter faster than the water in B.|A. Because it is larger. B is very skinny.|correct|: Student's answer is best supported by comparing the large increase in water temperature over a short time frame for heater A with smaller increases of an equal amount, but distributed across longer periods. For example, B shows increased rises at t=10 & t=20 minutes which are ignored when considering only one 5 minute interval difference
Pam and her family were planning a hike. Pam found 2 maps of the same area. Her friend recommended she use the topographic map when they went to the lake. Which letter (Q, R, or S) on the map is on the steepest part of the trail? (Q) How do you know it is the steepest part of the trail?|The contour lines are closest together at Q.|As the contour lines get closer the mountain side gets steeper.|incorrect|: Where the contour lines are close together, this indicates that there is a steep slope or cliff.
Jack made a lifeboat out of a large paper cup. He decided to measure how far the boat sank when different numbers of marbles were added. His data are shown in the table. Identify the standard for Jack's experiment.|The boat with 0 marbles is the standard in this experiment.|A 2 boat.|incorrect|: We were supposed to choose the row that has no marbles in it.
Describe how you can tell the difference between the crystals from the calcite test and salt crystals when you observe them in an evaporation dish.|The crystals have different shapes. Salt crystals are square with little Xs. The calcite crystals are shaped like needles (long and skinny).|It if looks like salt then the salt is salt crystals. If it has lines in them it is calcite crystals.|incorrect|: The Student's response addresses the significance of different area shapes. Target Area for this Question: Nomenclature, description, identification
What is your "rule" for deciding if the part of a plant you are observing is a fruit?|If a part of the plant contains seeds, that part is the fruit.|It has to have at least one seed.|correct|: The use of the word "rule" in questions tends to make students answer with a formula. In this case, two fruits are also still parts of plants (seeds need roots and leaves in order to grow). Students must instead rely on general principles for classifying the target concept– fruit is part that contains
What process forms deltas? A. Gravity B. Erosion (C. Deposition) D. Decomposition.  Explain how deltas form.|Earth materials erode and are carried by flowing water (a river). The earth materials form a delta when the materials are dropped off or deposited when the water stops flowing (at the mouth of a river).|Like a small river getting big, deltas are formed when a regular river is out to a ocean or lake. Over time the water will erode the mouth into a fan shaped deposit.|incorrect| : Earth materials are transported or moved when water moves in a moving current. Since an ocean is much larger than any river, over time the smaller deposits of sand and dirt at the mouth mountain will gradually grow because more earth material can be deposited there to form bigger landforms that rise out from where they were formed underwater .
Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a solution.|A solution was created when the eggshells disappeared (dissolved) and the mixture ended up as a clear liquid.|Because first she put eggshells then the next day she made a solution.|incorrect|Hide
Below are pictures of wind instruments. You blow air through them to produce sounds. Why does [the saxophone] make the lowest sounds?|The saxophone has the longest and fattest tube.|Because it is a horn that make like the mm.|incorrect|: The student constructs the analogy that to make low sounds you need a longer tube. Note how in order for this connection between part of speech (instrument) and phoneme(sound) is also productive; "I can tell when speakers are speaking into horns." ; She doesn't say, only saxophones because
Mary told her friend Sharice that she had a rug to sell. Sharice asked if the rug would fit perfectly, wall to wall, in her bedroom. Mary went home and measured the rug. She put her feet heel-to-toe and counted the number of shoe lengths it took to measure the rug. She found the rug was 18 shoes long and 12 shoes wide. Sharice did the same thing in her room to measure the space for the rug. Her floor was 18 shoes long and 12 shoes wide. A perfect fit! Sharice bought the rug and took it home. To her dismay, she found it was too short and too narrow for her bedroom! What could Mary and Sharice do to better measure the size of the rug?|Use a standard unit of measurement such as centimeters or meters.|The rug was 12.|incorrect|: Ballroom dancers use the term "shoe" to mean any dress/dance shoe. A standard ball room dance floor is 91 inches long and 30 1⁄2 feet wide, which are 18 shoes by 12 shoes respectively. At home one can likewise divide a space with heel-to-toe steps for
Look at the picture of the circuit to the right. What will happen to the motor if the light bulb burns out?|The motor will continue to run because the motor still has a pathway to the D-cell.|The motor will still run.|incorrect|: The pathway for current to flow is always there so the motor will continue to run regardless of what happens with light bulb.
Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.|When the string was tighter, the pitch was higher.|If you get it right it will not have much Frequency.|incorrect|: This answer suggests that the pitch is related to changes in frequency. The fact that frequencies are lower when tighter does not confirm or refute this student's utterance, but might be misleading at least initially with some students looking only at graph A (the one most people would quickly recognize as an oscilloscope). Because "higher
Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using blue versus red collectors?|Solar water heaters with blue collectors heat up faster than solar water heaters with red collectors.|Blue is very attracted to the heat whether it is covered or not. Red is not attracted.|correct|: In the uncovered filled, no type of solar water heat collector heats up any better than another. Uncovering a blue one drastically increases how fast it creates hot water compared to other colors and all their controls at first then switches over and looks like the…
2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?|Use a standard unit of mass like grams.|They could use grams to weigh them.|correct|: They could convert 35 or 60 marbles to grams Answer: 4. Question:
Betty was puzzled. In the morning the shadow of the bus sign is in the street. In the afternoon the shadow of the bus sign points the opposite direction. Explain to Betty why this happens.|In the morning the Sun is in the east so shadows point west. In the afternoon the Sun is in the west so shadows point east.|I think that Betty was a best shadow that was facing the opposite direction.|incorrect|Guidance: At times, an explanation/theory is also acceptable. Such as above)
Beth made 2 solutions of different concentrations of water and citric acid. She put 50 milliliters of the first solution in cup X and 50 milliliters of the second solution in cup Y. When she put the cups on the balance, the balance looked as shown below. Which solution, X or Y, is more concentrated? Explain how you know which is more concentrated.|X. When equal amounts of 2 solutions are compared, the solution that is more concentrated will have the greater mass (weigh more). 50 milliliters of X has a greater mass than 50 milliliters of Y, so X must be more concentrated.|Y, y because it have to be less.|incorrect|: The more concentrated a solution is, the greater its total mass.
Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?|No, string is an insulator, so the pathway would not be completed.|No because a string is not made of iron or steel.|incorrect|: The conducting pathway must be just iron or steel, which are good conductors.
A solution is a type of mixture. What makes it different from other mixtures?|A solution is a mixture formed when a solid dissolves in a liquid.|You can see through it.|incorrect|: If you can see through a mixture, it is called solutions. Example: salt water Example: sugar solution
Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. Why would comparing only the red uncovered heater with the blue covered heater not provide useful information?|When 2 variables are changed, it is impossible to determine which variable is causing what effect.|More than one manipulated variable.|correct|: Measured Variables: The independent variable was color, which is red for uncovered and blue for covered. The dependent variables were the temperatures of water 6 hours after sunrise, 6 & 12 inches above collector level. There are 4 data points (triangles) but in reality there should be an infinite number - because one
Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. Katie also discovered that when she pressed down on a string with her finger, making the string shorter, the sound again changed. Describe how the sound was different when the string was shortened.|When the string was shorter, the pitch was higher.|It will not make loud pluck like the other strings.|incorrect|: The tighter the string, the higher sound you hear from it. Still image Play animated waveform
Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using a cover?|Water heats up faster when covered.|The blue covered was very hot.|correct|: The blue line shows the highest temperature. If it is covered, then there are less ways for heat to escape so water heats up faster.
Anne is investigating which objects stick to magnets. She recorded this in her notebook. I was surprised! A nail was stuck to the magnet. When I accidentally touched the nail to a paperclip, the paperclip stuck to the nail. If Anne touched the nail to a brass ring, what do you think would happen and why?|The brass ring would not stick to the nail because the ring is not iron. The nail is a temporary magnet, but brass cannot become a temporary magnet and thus does not stick to magnets.|I think it would stick for a little bit depending on how long you hold the magnet to the nail because the nail becomes a temporary magnet.|incorrect| of Answer : The object that was "stuck to the magnet" is describing a type of force.  
The sand and flour in the gray material from mock rocks is separated by mixing with water and allowing the mixture to settle. Explain why the sand and flour separate.|The sand particles are larger and settle first. The flour particles are smaller and therefore settle more slowly.|One is heavier than another see it settles in how many layers there is ingredients.|correct|: Information gained through the separation process is used to support this answer.
2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. Since they weighed the same apple, what do you think happened to make the results different?|The marbles used by the 2 groups were probably different masses.|They use different sizes of marbles.|incorrect|:   Mass of 3.5cm diameter hard hikacala marble-35g; mass is almost solid, rought feeling with no hollow space within the marbles' spheres
